fname,param_name,param_value
gl_vrblcvrg,dt_pmdb,dt_pmdb
gd_pmdb_splong,dt_pmdb,dt_pmdb
gd_vrblcvrg,dt_pmdb_splong,dt_pmdb_splong
gd_vrblcvrg,all_statuses,T
gc_vrblgrps,dt_pmdb,dt_pmdb
gd_vrblcvrg,dt_pmdb_splong,dt_pmdb_splong
gd_vrblcvrg,all_statuses,F
gc_vrblgrps,dt_pmdb,dt_pmdb
gd_pmx,dt_pmdb,dt_pmdb
gd_pmtiv,dt_pmx,dt_pmx
gd_pmyear,dt_pmx,dt_pmx
gd_pmyear,dt_pmtiv,dt_pmtiv
gd_pmcpct,dt_pmyear,dt_pmyear
gl_mdls,dt_pmyear,dt_pmyear
gl_mdls,dt_pmcpct,dt_pmcpct
gp_vrblcvrg_ugrpd,dt_vrblcvrg,l_vrblcvrg$dt_vrblcvrg_all
gp_vrblcvrg_ugrpd,yeet_acts,FALSE
gp_vrblcvrg_ratio,dt_vrblcvrg,l_vrblcvrg$dt_vrblcvrg_fcs
gp_hazard,dt_pmcpct,dt_pmcpct
gp_hazard,cutwidth,2
gp_hazard,bw.smooth,5
gp_agedens,dt_pmcpct,dt_pmcpct
gp_yeardens,dt_pmyear,dt_pmyear
gp_vrblcvrg,dt_vrblcvrg_grpd,l_vrblcvrg$dt_vrblcvrg_all
gp_vrblcvrg,yeet_acts,FALSE
gp_surv,dt_pmcpct,dt_pmcpct
